,0_word,0_per,1_word,1_per,2_word,2_per,3_word,3_per,4_word,4_per,5_word,5_per,6_word,6_per,7_word,7_per
52,bisher,0.003,mafsnahman,0.002,gezielt,0.002,gepruft,0.002,innen,0.002,duale,0.002,demokratischen,0.002,verbleiben,0.001
53,wenn,0.003,stationaren,0.002,denn,0.002,bewahrt,0.002,pflegen,0.002,rechtlich,0.002,ausrichten,0.002,demokratische,0.001
54,dauerhaften,0.003,bundes,0.002,viele,0.002,unseren,0.002,schutzt,0.002,massiv,0.002,beruflichen,0.001,geleistet,0.001
55,einheitliche,0.003,bezahlte,0.002,erleichtern,0.002,auswirken,0.002,entscheidend,0.002,unabhangige,0.002,reform,0.001,schaft,0.001
56,sicheren,0.003,ambulanten,0.002,stattfinden,0.002,eigenen,0.002,schwer,0.002,nachhaltige,0.002,kunftig,0.001,wichtig,0.001
57,zeigt,0.003,tische,0.002,eroffnen,0.002,strukturell,0.002,individuelle,0.002,afd_fordert,0.002,sondern,0.001,treffen,0.001
58,versucht,0.003,sachliche,0.002,mafsnahman,0.002,sein,0.002,gewahren,0.002,gleichgestellt,0.002,gesamten,0.001,berucksichtigen,0.001
59,gesetz,0.003,einzelne,0.002,beide,0.002,freiwillig,0.002,weiterer,0.002,leistet,0.002,diesen,0.001,derzeitige,0.001
60,langfristig,0.003,stoppen,0.001,sicherer,0.002,gelingen,0.002,von,0.002,erzielt,0.002,erwarten,0.001,kommunale,0.001
61,erneuerbare,0.003,wer,0.001,integrieren,0.002,einseitig,0.002,kritische,0.002,besonderer,0.002,stehen,0.001,regionale,0.001
62,erlassen,0.003,zumeist,0.001,definieren,0.002,afd_fordert,0.002,grunden,0.002,solidarische,0.001,gleichzeitig,0.001,dadurch,0.001
63,ware,0.003,eintreten,0.001,bestehen,0.001,nukleare,0.002,aktiv,0.001,kostenlose,0.001,fall,0.001,sicherstellen,0.001
64,verankert,0.003,vergleichbare,0.001,situation,0.001,modernisieren,0.002,seiten,0.001,schadet,0.001,frei,0.001,finanzielle,0.001
65,sogenannten,0.002,tigen,0.001,beseitigen,0.001,einrichten,0.002,beendet,0.001,vergeben,0.001,derung,0.001,verpflichtet,0.001
66,dert,0.002,recht,0.001,informationelle,0.001,verbreiten,0.002,politischer,0.001,umfassende,0.001,regelmaßig,0.001,geschaffen,0.001
67,gezahlt,0.002,hochwertige,0.001,nahezu,0.001,zusatzlich,0.002,zehn,0.001,einbezogen,0.001,verscharft,0.001,privater,0.001
68,verringern,0.002,engagieren,0.001,allgemeinen,0.001,geringem,0.002,denken,0.001,betreut,0.001,starke,0.001,bewahrten,0.001
69,erreicht,0.002,mussin,0.001,verlasslich,0.001,abschaffen,0.002,laufende,0.001,gesetze,0.001,breiter,0.001,bestehender,0.001
70,dann,0.002,spekulation,0.001,auflegen,0.001,inzwischen,0.002,elektronischen,0.001,kurze,0.001,entlang,0.001,versetzt,0.001
71,leben,0.002,beteiligung,0.001,somit,0.001,bestimman,0.001,notwendig,0.001,stutzen,0.001,dagegen,0.001,gefuhrt,0.001
72,vielfach,0.002,ideologisch,0.001,gerechten,0.001,wesen,0.001,hierbei,0.001,geordnet,0.001,deutscher,0.001,bauen,0.001
73,bewusst,0.002,wirtschaften,0.001,aus,0.001,erlaubt,0.001,geeignete,0.001,brucken,0.001,dessen,0.001,weder,0.001
74,manche,0.002,genugend,0.001,angesicht,0.001,gleichermaßen,0.001,notwendige,0.001,große,0.001,okologische,0.001,verstarken,0.001
75,entlastet,0.002,verbesserte,0.001,personelle,0.001,jeweil,0.001,kurz,0.001,leiden,0.001,verschiedenen,0.001,abs,0.001
76,gesetzlich,0.002,umfasst,0.001,setzung,0.001,alter,0.001,begrenzt,0.001,produzieren,0.001,veranderten,0.001,heiten,0.001
77,verstarkte,0.002,sorge,0.001,ration,0.001,halt,0.001,religios,0.001,begegnet,0.001,niemand,0.001,sogenannte,0.001
78,besonderen,0.002,zugig,0.001,schulen,0.001,personell,0.001,langfristige,0.001,geschehen,0.001,begleiten,0.001,nen,0.001
79,internationaler,0.002,populistische,0.001,verlassliche,0.001,großeren,0.001,geforderte,0.001,genau,0.001,stationare,0.001,wirkt,0.001
80,effektiven,0.002,alteren,0.0,letztlich,0.001,dramatisch,0.001,generell,0.001,autonomie,0.001,mafsnahman,0.001,internationale,0.001
81,globalen,0.002,trager,0.0,selbstbestimmte,0.001,investieren,0.001,zulassen,0.001,hilfe,0.0,lich,0.001,qualifizierten,0.001
82,arbeits,0.002,konkret,0.0,miteinander,0.001,jedoch,0.001,handeln,0.001,afd_bekennt,0.0,stark,0.001,konkrete,0.001
83,vorhandene,0.002,zusammenleben,0.0,beschaftigten,0.001,weiten,0.001,verstarkt,0.001,angerechnet,0.0,lassen,0.001,da,0.001
84,voraus,0.002,uberzogene,0.0,standige,0.001,europaische,0.001,beinhaltet,0.001,istin,0.0,verteidigen,0.001,zudem,0.001
85,jetzt,0.002,angemessener,0.0,afd_bekennt,0.001,gung,0.001,geeignet,0.001,qualifizierter,0.0,oberste,0.001,zugute,0.001
86,regierung,0.002,verfestigen,0.0,einzelner,0.001,unzureichend,0.001,trotz,0.001,historischer,0.0,schutz,0.001,umsetzen,0.001
87,politisch,0.002,betrachtet,0.0,daruber,0.001,welche,0.001,erfolgt,0.001,mussin,0.0,staate,0.001,intakte,0.001
88,erarbeitet,0.002,sozialistische,0.0,ruckgangig,0.001,befinden,0.001,pauschale,0.001,reicher,0.0,vielfaltigen,0.001,patienten,0.001
89,fort,0.002,erzeugte,0.0,dung,0.001,lebt,0.001,ausreichend,0.001,gebaut,0.0,standigen,0.001,finanziert,0.001
90,erklaren,0.002,mobilitat,0.0,greifen,0.001,volle,0.001,hen,0.001,zugestanden,0.0,jenseit,0.001,einschranken,0.001
91,plattforman,0.002,beginnt,0.0,positiv,0.001,deswegen,0.001,konstruktiv,0.001,pauschalen,0.0,umgesetzt,0.001,erfahren,0.001
92,jeden,0.002,familienpolitik,0.0,verstandlichen,0.001,zentral,0.001,bisherigen,0.001,allein,0.0,richten,0.001,erneuerbarer,0.001
93,darum,0.002,inakzeptabel,0.0,europai,0.001,zeitweise,0.001,mogliche,0.001,angemessener,0.0,unabhangigen,0.001,sicherzustellen,0.001
94,voller,0.002,verlasslicher,0.0,konnte,0.001,infrastrukturen,0.001,einzelnen,0.001,mafsnahman,0.0,fließen,0.001,land,0.001
95,sorgt,0.002,nichtstaatliche,0.0,festgelegten,0.001,einkomman,0.001,rund,0.001,familienpolitik,0.0,afd_bekennt,0.001,gestalten,0.001
96,nachhaltig,0.002,zustimman,0.0,konkreten,0.001,zuzulassen,0.001,fahren,0.001,eroffnet,0.0,weltweiten,0.001,bestimmte,0.001
97,gleich,0.002,heimischer,0.0,medizinischer,0.001,wirtschaftliche,0.001,weiterhin,0.001,grundlegenden,0.0,erweitern,0.001,abzulehnen,0.001
98,sichert,0.002,verbotene,0.0,familienpolitik,0.001,welcher,0.001,ideologisch,0.001,mobilitat,0.0,lokale,0.001,gibt,0.001
99,vertreten,0.002,steigen,0.0,werten,0.001,derart,0.001,kunftigen,0.001,heimischer,0.0,steigt,0.001,ermoglicht,0.001
