,0_word,0_per,1_word,1_per,2_word,2_per,3_word,3_per,4_word,4_per,5_word,5_per,6_word,6_per,7_word,7_per
34,viel,0.005,freiheitliche,0.004,wichtig,0.004,lange,0.005,lich,0.003,letzten,0.001,etablieren,0.004,einschranken,0.005
35,km,0.004,langer,0.003,treffen,0.004,demokratische,0.005,ausrichten,0.003,wahrend,0.001,treten,0.004,technischen,0.005
36,beispielsweise,0.004,dessen,0.003,ersten,0.004,bessere,0.005,finanziert,0.003,deutschen,0.001,drei,0.004,entgegenwirken,0.004
37,verpflichten,0.004,uns,0.003,kommunale,0.003,berucksichtigen,0.005,flachendeckend,0.003,etwa,0.001,betroffen,0.004,verbieten,0.004
38,gerade,0.003,umsetzen,0.003,strikt,0.003,nehmen,0.005,entwickelt,0.003,offentliche,0.001,braucht,0.004,zeigt,0.004
39,privaten,0.003,verursacht,0.003,forschung,0.003,dadurch,0.005,getragen,0.003,nationaler,0.001,orientieren,0.004,begleitet,0.004
40,menschen,0.003,hoheren,0.003,verpflichtet,0.003,auslandische,0.005,ideologisch,0.003,staatlich,0.001,liche,0.004,regelmaßig,0.004
41,tun,0.003,ersetzen,0.003,private,0.003,finanzielle,0.005,gesetz,0.003,bewahren,0.001,da,0.004,profitieren,0.004
42,zahlt,0.003,land,0.003,versetzt,0.003,geschaffen,0.004,direkt,0.003,kind,0.001,bedarf,0.004,afd_fordert,0.004
43,wirksamer,0.003,gen,0.003,sowohl,0.003,sozial,0.004,erneuerbare,0.003,gut,0.001,gewinnen,0.003,unabhangig,0.004
44,abzulehnen,0.003,diesen,0.003,finanzieren,0.003,dauerhafte,0.004,bekomman,0.003,moglichst,0.001,bestimmte,0.003,jeden,0.003
45,senken,0.003,umfassenden,0.003,sprechen,0.003,europa,0.004,ihnen,0.003,entwickeln,0.001,flachendeckende,0.003,anpassen,0.003
46,bisher,0.003,gesundheitliche,0.003,innerhalb,0.003,afd_fordert,0.004,ren,0.002,komman,0.001,bundesweiten,0.003,bevor,0.003
47,gemeinsam,0.003,kein,0.003,internationaler,0.003,nachhaltig,0.004,de,0.002,oft,0.001,schneller,0.003,hierfur,0.003
48,einheitliche,0.003,rechtlichen,0.003,gelingt,0.003,eigene,0.004,fairen,0.002,entschieden,0.001,aus,0.003,oftmal,0.003
49,raume,0.003,derung,0.002,sogenannte,0.003,hoch,0.004,geschutzt,0.002,zentrale,0.001,bezahlbar,0.003,voranbringen,0.003
50,langfristig,0.003,sicheren,0.002,nen,0.003,bauen,0.004,umfassend,0.002,besteht,0.001,ausgebaute,0.003,zwingend,0.003
51,digital,0.002,forderungen,0.002,steuerlich,0.003,finanziell,0.004,dann,0.002,weiteren,0.001,genauso,0.003,dauerhaft,0.003
52,form,0.002,starke,0.002,internationale,0.003,daran,0.004,regel,0.002,daraus,0.001,war,0.003,geeignete,0.003
53,kaum,0.002,unser,0.002,verringern,0.003,konkrete,0.004,hierzu,0.002,bestehende,0.001,angepasst,0.003,lassen,0.003
54,innen,0.002,stet,0.002,gestalten,0.003,international,0.004,niemand,0.002,bleibt,0.001,haufig,0.003,neuer,0.002
55,vielfach,0.002,risiken,0.002,globalen,0.003,staatlicher,0.003,erhebliche,0.002,massive,0.001,notwendig,0.003,rund,0.002
56,okonomischen,0.002,verstarkt,0.002,gelten,0.003,ermoglicht,0.003,gemacht,0.002,unverzichtbar,0.001,projekten,0.003,verstoßen,0.002
57,anderer,0.002,dagegen,0.002,zudem,0.003,gesamten,0.003,voraus,0.002,brauchen,0.001,gesamte,0.003,uberprufen,0.002
58,kontinuierlich,0.002,gesichert,0.002,umfassende,0.002,orientierte,0.003,aufgenomman,0.002,beschleunigen,0.001,welchen,0.003,verbindlich,0.002
59,begleiten,0.002,bewusst,0.002,erfahren,0.002,verankern,0.003,schwer,0.002,gebracht,0.001,jeweiligen,0.002,freiwillig,0.002
60,zumind,0.002,solche,0.002,art,0.002,stabile,0.003,erarbeitet,0.002,liegen,0.001,nachhaltigen,0.002,echte,0.002
61,mafsnahman,0.002,ausweiten,0.002,weil,0.002,schwerer,0.003,entsprechender,0.002,allerding,0.001,abbauen,0.002,verlassen,0.002
62,pauschalen,0.002,entscheidend,0.002,saubere,0.002,arbeiten,0.003,eltern,0.002,weitere,0.001,von,0.002,rechtlich,0.002
63,offentlichen,0.002,bedingungen,0.002,kunftig,0.002,abhangig,0.003,gepruft,0.002,zunehmende,0.001,gesetzlich,0.002,richtigen,0.002
64,vermieden,0.002,schutzt,0.002,neu,0.002,auszubauen,0.003,bewahrt,0.002,garantierten,0.001,bilden,0.002,beinhaltet,0.002
65,vorhandene,0.002,individuelle,0.002,wenn,0.002,erfullen,0.003,erfasst,0.002,waren,0.001,vier,0.002,moglichen,0.002
66,gehen,0.002,jetzt,0.002,gesellschaft,0.002,starkere,0.003,co,0.002,deutscher,0.001,gesunde,0.002,trotz,0.002
67,regierung,0.002,weiterer,0.002,gemeinsaman,0.002,nahman,0.003,voller,0.002,schaft,0.001,streben,0.002,mus,0.002
68,einheitlichen,0.002,aktiv,0.002,unterbinden,0.002,fahigkeiten,0.003,reduziert,0.002,schen,0.001,gezielt,0.002,stationaren,0.002
69,bestimmung,0.002,anheben,0.002,fall,0.002,begrußen,0.003,etabliert,0.002,streichen,0.001,bekampft,0.002,ambulanten,0.002
70,heimischen,0.002,okonomisch,0.001,wirksaman,0.002,befordert,0.003,wissen,0.002,weltweit,0.001,betroffene,0.002,genutzt,0.002
71,erklaren,0.002,notwendige,0.001,rente,0.002,personal,0.002,ihren,0.002,umgehend,0.001,zehn,0.002,jeweil,0.002
72,religiosen,0.002,laufende,0.001,einfuhrung,0.002,allen,0.002,wichtiger,0.002,generelle,0.001,denken,0.002,solidarische,0.002
73,fluchtlinge,0.002,fließen,0.001,dient,0.002,ihr,0.002,unabhangige,0.002,gewahrleisten,0.001,elektronischen,0.002,fahren,0.001
74,sport,0.002,steuern,0.001,gestaltet,0.002,dert,0.002,strukturell,0.002,zerstort,0.001,viele,0.002,schadet,0.001
75,vertreten,0.002,verscharfen,0.001,sofort,0.002,entlang,0.002,it,0.002,wirtschaft,0.001,entsteht,0.002,bessern,0.001
76,eigenen,0.001,werben,0.001,freier,0.002,entstehen,0.002,vorangetrieben,0.001,wurden,0.001,bezahlbare,0.002,inneren,0.001
77,schluss,0.001,einmal,0.001,verankert,0.002,andern,0.002,retten,0.001,bewahrten,0.001,lokale,0.002,verantwortlich,0.001
78,eroffnen,0.001,breiten,0.001,ersetzt,0.002,besonderen,0.002,gestarkt,0.001,privater,0.001,neubau,0.002,ziehen,0.001
79,bundeln,0.001,gelingen,0.001,weniger,0.002,bestehen,0.002,geregelt,0.001,standard,0.001,begrenzt,0.002,taglichen,0.001
80,zwar,0.001,zulassen,0.001,eingehalten,0.002,jeder,0.002,geforderte,0.001,bestehender,0.001,derzeit,0.001,das,0.001
81,sen,0.001,ne,0.001,wenig,0.002,verstarkte,0.002,entziehen,0.001,orientiert,0.001,angewiesen,0.001,innovative,0.001
82,qualifizierte,0.001,geeignet,0.001,abgeschafft,0.002,okologische,0.002,duale,0.001,system,0.001,nun,0.001,ort,0.001
83,zukunftig,0.001,hin,0.001,technische,0.002,anzupassen,0.002,seit,0.001,spricht,0.001,endlich,0.001,government,0.001
84,verboten,0.001,steigenden,0.001,dringend,0.002,effektiven,0.002,massiv,0.001,bedeutet,0.001,situation,0.001,engagieren,0.001
85,einbringen,0.001,pauschale,0.001,mittlerweile,0.002,flachen,0.002,konnten,0.001,finanziellen,0.001,beseitigen,0.001,losen,0.001
86,zweite,0.001,ausreichend,0.001,gezahlt,0.002,bar,0.002,angemessen,0.001,vollstandige,0.001,bieten,0.001,auto,0.001
87,auslandischen,0.001,mogliche,0.001,global,0.002,aufnehman,0.002,afd_lehnt,0.001,mafsnahman,0.001,nahezu,0.001,berucksichtigt,0.001
88,verpflichtend,0.001,ration,0.001,leben,0.002,erganzen,0.002,dafur_gesorgt,0.001,allein,0.001,allgemeinen,0.001,verbundenen,0.001
89,formulieren,0.001,notig,0.001,macht,0.002,politisch,0.002,erfolgen,0.001,ganz,0.001,mafsnahman,0.001,lander,0.001
90,linke,0.001,regeln,0.001,andere,0.002,sche,0.002,bundes,0.001,weiterhin,0.001,verlassliche,0.001,mobile,0.001
91,handeln,0.001,aktuelle,0.001,vieler,0.002,finden,0.002,gleichgestellt,0.001,offene,0.001,tische,0.001,informieren,0.001
92,ihrem,0.001,afd_lehnt,0.001,meisten,0.002,gleiche,0.002,brucken,0.001,abs,0.001,heimischen,0.001,beitragen,0.001
93,geringem,0.001,einfach,0.001,lage,0.002,zusatzliche,0.002,hohere,0.001,positive,0.001,prinzip,0.001,gesetzt,0.001
94,qualifizierten,0.001,belassen,0.001,kommunalen,0.002,außerdem,0.002,erfullt,0.001,regional,0.001,personelle,0.001,sorge,0.0
95,verbindlicher,0.001,innovativer,0.001,fallen,0.002,verbindliche,0.002,vereinfacht,0.001,gehort,0.001,altersgerecht,0.001,hilfe,0.0
96,steigern,0.001,legitimiert,0.001,arbeits,0.002,inzwischen,0.002,kostenlose,0.001,heiten,0.001,setzung,0.001,source,0.0
97,bildet,0.001,erste,0.001,weltweiten,0.002,heutigen,0.002,rechnen,0.001,wirkt,0.001,sogenannter,0.001,bereitstellen,0.0
98,fen,0.001,moderner,0.001,sorgung,0.001,abgestimmte,0.002,vergeben,0.001,gefordert,0.001,alter,0.001,abzubauen,0.0
99,afd_lehnt,0.001,rational,0.001,soweit,0.001,denn,0.002,beteiligt,0.001,wirksam,0.001,sichere,0.001,afd_bekennt,0.0
