text,topic,label,score,sentence,hate_label,hate_score,sequence,labels,scores,Top 3
corona-krise erneut zeigen sozial sicherung minijob unzureichend,Politik und Ideologie,negativ,0.7479233145713806,"Die Corona-Krise hat erneut gezeigt, dass die soziale Sicherung der Minijobs unzureichend ist",neutral,0.98792165517807,"Die Corona-Krise hat erneut gezeigt, dass die soziale Sicherung der Minijobs unzureichend ist",gesundheit,0.3311130106449127,"[('gesundheit', 0.3311130106449127), ('bildung', 0.2590368986129761), ('soziale ursachen', 0.1739746481180191)]"
mensch wunsch verwirk- lich ziel erreichen,Politik und Ideologie,neutral,0.6062629222869873,"Wir wollen, dass alle Menschen ihre Wünsche verwirk- lichen und ihre Ziele erreichen können",neutral,0.9739434719085692,"Wir wollen, dass alle Menschen ihre Wünsche verwirk- lichen und ihre Ziele erreichen können",gesundheit,0.2261306494474411,"[('gesundheit', 0.2261306494474411), ('bildung', 0.21407586336135864), ('politik und ideologie', 0.1377626210451126)]"
grundlegend einfüh rung mehrheitsentscheid außenpolitik jetzig einstimmigkeitsprinzip,Politik und Ideologie,neutral,0.5160796642303467,Grundlegend dafür ist die Einfüh- rung von Mehrheitsentscheiden in der Außenpolitik - statt des jetzigen Einstimmigkeitsprinzips,neutral,0.8599222898483276,Grundlegend dafür ist die Einfüh- rung von Mehrheitsentscheiden in der Außenpolitik - statt des jetzigen Einstimmigkeitsprinzips,bildung,0.2957720160484314,"[('bildung', 0.2957720160484314), ('politik und ideologie', 0.27503544092178345), ('gesundheit', 0.2487814575433731)]"
sorgen geeignet dach solaranlage bekommen,Wissenschaft,neutral,0.5968793034553528,"Wir wollen dafür sorgen, dass alle dazu geeigneten Dächer eine Solaranlage bekommen",neutral,0.9902722239494324,"Wir wollen dafür sorgen, dass alle dazu geeigneten Dächer eine Solaranlage bekommen",gesundheit,0.2856222987174988,"[('gesundheit', 0.2856222987174988), ('bildung', 0.17810523509979248), ('wirtschaft', 0.12992863357067108)]"
exzellenzstrategie entwickeln ergänzen unterstützung regional kooperation hochschule forschungseinrichtung,Wissenschaft,neutral,0.6769217848777771,Die Exzellenzstrategie entwickeln wir weiter und ergänzen sie um die Unterstützung regionaler Kooperationen von Hochschulen und Forschungseinrichtungen,neutral,0.9792226552963256,Die Exzellenzstrategie entwickeln wir weiter und ergänzen sie um die Unterstützung regionaler Kooperationen von Hochschulen und Forschungseinrichtungen,bildung,0.4726242125034332,"[('bildung', 0.4726242125034332), ('gesundheit', 0.10139093548059464), ('soziale ursachen', 0.08937039971351624)]"
zuversicht entstehen vertrauen einfluss nehmen wohin leben wohin gesellschaft entwickeln,Wissenschaft,neutral,0.7041496634483337,"Diese Zuversicht entsteht aus dem Vertrauen, Einfluss darauf nehmen zu können, wohin sich unser Leben, wohin sich unsere Gesellschaft entwickelt",neutral,0.9844754338264464,"Diese Zuversicht entsteht aus dem Vertrauen, Einfluss darauf nehmen zu können, wohin sich unser Leben, wohin sich unsere Gesellschaft entwickelt",bildung,0.2819547653198242,"[('bildung', 0.2819547653198242), ('gesundheit', 0.24686378240585327), ('politik und ideologie', 0.12460947781801224)]"
wertschätzung jeder einzelner unterschied,soziale Ursachen,neutral,0.5839583277702332,Für die Würde und Wertschätzung jeder und jedes einzelnen darf das keinen Unterschied machen,neutral,0.9895064234733582,Für die Würde und Wertschätzung jeder und jedes einzelnen darf das keinen Unterschied machen,wissenschaft,0.314318299293518,"[('wissenschaft', 0.31431829929351807), ('bildung', 0.2142307311296463), ('none', 0.15991127490997314)]"
schienenverkehr schwerpunkt verkehrspolitisch agenda,soziale Ursachen,neutral,0.8663657307624817,Der Schienenverkehr ist ein Schwerpunkt unserer verkehrspolitischen Agenda,neutral,0.9625158905982972,Der Schienenverkehr ist ein Schwerpunkt unserer verkehrspolitischen Agenda,politik und ideologie,0.6001558899879456,"[('politik und ideologie', 0.6001558899879456), ('bildung', 0.13625913858413696), ('gesundheit', 0.07330527156591415)]"
hinaus land global süden anpassung klimawandel nachhaltig entwicklung unter- stützen,soziale Ursachen,neutral,0.6643586158752441,Darüber hinaus werden wir die Länder des Globalen Südens bei der Anpassung an den Klimawandel in ihrer nachhaltigen Entwicklung unter- stützen,neutral,0.8750421404838562,Darüber hinaus werden wir die Länder des Globalen Südens bei der Anpassung an den Klimawandel in ihrer nachhaltigen Entwicklung unter- stützen,klima,0.315821498632431,"[('klima', 0.31582149863243103), ('bildung', 0.241774320602417), ('gesundheit', 0.19643506407737732)]"
sozial politik zukunftsprogramm spd,wirtschaft,neutral,0.7876343727111816,Soziale Politik für DAS ZUKUNFTSPROGRAMM DER SPD Dich,neutral,0.9441074132919312,Soziale Politik für DAS ZUKUNFTSPROGRAMM DER SPD Dich,politik und ideologie,0.5687914490699768,"[('politik und ideologie', 0.5687914490699768), ('soziale ursachen', 0.22333815693855286), ('bildung', 0.08226475864648819)]"
sozial politik zukunftsprogramm spd,wirtschaft,neutral,0.7876343727111816,Soziale Politik für DAS ZUKUNFTSPROGRAMM DER SPD Dich,neutral,0.9441074132919312,Soziale Politik für DAS ZUKUNFTSPROGRAMM DER SPD Dich,politik und ideologie,0.5687914490699768,"[('politik und ideologie', 0.5687914490699768), ('soziale ursachen', 0.22333815693855286), ('bildung', 0.08226475864648819)]"
kapitel,wirtschaft,negativ,0.4476356506347656,KAPITEL,neutral,0.9676231741905212,KAPITEL,bildung,0.2292098104953766,"[('bildung', 0.2292098104953766), ('none', 0.1621427834033966), ('gesundheit', 0.12936903536319733)]"
